,cluster_x,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
34,1,9323.0,23,GARCH+LSTM,-0.40123903142311246,0.00016093386254047634,0.00012217270692112682,0.0001131930049905941,1418879680804821.8,64.43905768747125,733.017783052656
36,1,9323.0,26,GARCH+LSTM,-0.5677203718345867,0.0001554801546796606,0.0001254341734710074,0.00011343149748504337,6356340786557566.0,56.89310334324873,5.5975008008802964
82,1,22753.0,6,GARCH+LSTM,-1.2022314979540192,0.0002220675987472847,0.00019067239266765948,0.0001797418821762754,49.72400508248977,71.34975576011334,14.115022901111322
84,1,22753.0,8,GARCH+LSTM,-0.7260584586775729,0.00037652512734239157,0.0003227437933469519,0.0003089475744197687,42.221533146578835,59.03110170755704,11.248972429735653
86,1,22753.0,16,GARCH+LSTM,-1.8557723119120513,0.00022595457533886742,0.00020762666472556388,0.00020080521603592602,58.85874990727172,88.2046984078301,23.137924290373274
88,1,22753.0,17,GARCH+LSTM,-0.5421566784405776,0.00020271064649783358,0.00017467744597063345,0.00016923551274956977,44.776875043145886,62.6569637396123,7.886995338748235
90,1,22753.0,19,GARCH+LSTM,-1.469716232068215,0.0002870237333060036,0.0002625288082869884,0.00025282048274396927,68.56694112116998,110.86278844630391,487.72375406865314
92,1,22753.0,28,GARCH+LSTM,-0.8445140064161334,0.0002133243428911779,0.00018218499584483672,0.00016852527370702709,39.53397550300809,52.76859935064302,6.388709116791694
94,1,22753.0,33,GARCH+LSTM,-1.856326330504944,0.00027871588366682555,0.00025935380216023633,0.0002466976969598284,68.00563040342534,110.30214688182487,9259.990863409783
96,1,22753.0,37,GARCH+LSTM,-0.9026240076525904,0.000268473626615249,0.00022507406984894552,0.0002077392495977072,50.67563302437902,73.37860942810111,17.402442885333375
134,1,22951.0,15,GARCH+LSTM,-0.7391617631818035,0.00022735671304897505,0.00019455267094869622,0.00018331370314362264,47.69977941110055,66.70474426554033,15.2924645873425
136,1,22951.0,21,GARCH+LSTM,-1.9358371898899285,0.00025481000050058824,0.00020486200252608767,0.00016947991629073268,51.474124816714806,66.7555332343492,7.3983027555325975
138,1,22951.0,23,GARCH+LSTM,-1.0879924319710463,0.00023228743150703886,0.00019829535744157273,0.00017565352868032915,54.02944957148459,77.8796244649421,9.72137042265168
140,1,22951.0,29,GARCH+LSTM,-0.3616512829438232,0.00030078974598326895,0.00024853126388504524,0.00022273437971684595,41.388952990791445,55.84671049289146,7.464928274206449
164,1,50200.0,5,GARCH+LSTM,-1.4156803323779936,0.00010303076382231102,8.984543770383629e-05,8.21617288763624e-05,50.90848513893603,74.60184185379141,44.474849758481845
166,1,50200.0,14,GARCH+LSTM,-1.0466515077188552,9.321121066528556e-05,7.805334648451287e-05,6.817110263408248e-05,52.56782033739622,74.32453756290225,6.248855795865956
168,1,50200.0,21,GARCH+LSTM,-0.3266873035171143,8.036222981025775e-05,5.210006061449225e-05,3.659833196093789e-05,32.71947494594581,39.85472294173374,2.9348378214474544
170,1,50200.0,26,GARCH+LSTM,-1.3848730665326952,6.724528226484259e-05,5.447204243535945e-05,4.884336534278241e-05,47.21811259266293,61.93872904513892,4.74624699577616
172,1,104919.0,4,GARCH+LSTM,-0.9460517028223161,0.0002686694422939401,0.00021180914271282472,0.0001842762691786043,27.106814311052364,33.27976666060116,5.60626447227451
174,1,104919.0,5,GARCH+LSTM,-0.9676792908767515,0.000145740594084265,0.00013007719569727355,0.00012661775444015416,54.38885155836737,83.03068499018018,885.7006431060067
178,1,104919.0,14,GARCH+LSTM,-3.5716692805108012,0.00016942138716273292,0.00015820671593075322,0.00015059127733534102,63.78938193062399,98.08816466427803,38.79691699070658
